game_id,team,opponent,player_id,name,date,minutes,points,goals,assists,home_or_away,shots_on_goal,power_play_assists,power_play_goals,goal_tending_goals_against
24030,DET,FLA,30004111,Jonatan Berggren,2025-10-15,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
24030,DET,FLA,30000997,Travis Hamonic,2025-10-15,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
24030,DET,FLA,30004816,Lucas Raymond,2025-10-15,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
24030,FLA,DET,30000074,Brad Marchand,2025-10-15,16,1.0,1.0,0.0,0,4.0,0.0,0.0,0.0
24030,FLA,DET,30000667,Sergei Bobrovsky,2025-10-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0
24030,FLA,DET,30001387,Niko Mikkola,2025-10-15,20,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
24030,FLA,DET,30000981,Evan Rodrigues,2025-10-15,18,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0
24030,FLA,DET,30000723,Jeff Petry,2025-10-15,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30000559,Sam Bennett,2025-10-15,16,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
24030,FLA,DET,30004809,Anton Lundell,2025-10-15,17,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0
24030,FLA,DET,30003150,Luke Kunin,2025-10-15,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30003681,Eetu Luostarinen,2025-10-15,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30006048,Uvis Balinskis,2025-10-15,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30002758,Gustav Forsling,2025-10-15,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30002839,A.J. Greer,2025-10-15,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30003694,Jonah Gadjovich,2025-10-15,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30005000,Mackie Samoskevich,2025-10-15,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30001448,Daniil Tarasov,2025-10-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30004497,Tobias Bjornfot,2025-10-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30004574,Cole Schwindt,2025-10-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30004873,Donovan Sebrango,2025-10-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24030,FLA,DET,30000239,Aaron Ekblad,2025-10-15,23,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
24030,FLA,DET,30003683,Jesper Boqvist,2025-10-15,13,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
24030,FLA,DET,30000253,Seth Jones,2025-10-15,25,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
24030,FLA,DET,30001159,Carter Verhaeghe,2025-10-15,16,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
24030,FLA,DET,30000980,Sam Reinhart,2025-10-15,20,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
24031,OTT,BUF,30004553,Jordan Spence,2025-10-15,17,3.0,0.0,3.0,0,2.0,0.0,0.0,0.0
24031,OTT,BUF,30004819,Jake Sanderson,2025-10-15,22,2.0,1.0,1.0,0,3.0,0.0,1.0,0.0
24031,OTT,BUF,30000012,Lars Eller,2025-10-15,17,1.0,1.0,0.0,0,3.0,0.0,0.0,0.0
24031,OTT,BUF,30004514,Shane Pinto,2025-10-15,17,1.0,1.0,0.0,0,3.0,0.0,0.0,0.0
24031,OTT,BUF,30004821,Tim Stützle,2025-10-15,21,1.0,1.0,0.0,0,5.0,0.0,0.0,0.0
24031,OTT,BUF,30003711,Fabian Zetterlund,2025-10-15,14,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0
24031,OTT,BUF,30000263,Nick Cousins,2025-10-15,11,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0
24031,OTT,BUF,30004852,Tyler Kleven,2025-10-15,15,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0
24031,OTT,BUF,30004958,Olle Lycksell,2025-10-15,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24031,OTT,BUF,30004479,Dylan Cozens,2025-10-15,15,1.0,0.0,1.0,0,5.0,1.0,0.0,0.0
24031,OTT,BUF,30002630,Michael Amadio,2025-10-15,13,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
24031,OTT,BUF,30004802,Ridly Greig,2025-10-15,16,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0
