name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Dawson Mercer,1,0.0,1,0.0007799416780471802,-0.0007799416780471802,RF
Declan Chisholm,2,0.28579453124088844,2,0.0016535595059394836,0.28414097173494895,DSS
Dennis Hildeby,1,0.1128658354437467,1,0.0010332614183425903,0.11183257402540411,DSS
Derek Ryan,2,0.10128396726486258,2,0.001989152282476425,0.09929481498238615,DSS
Drake Batherson,2,0.4445489093890556,2,0.5078089237213135,-0.06326001433225786,RF
Drake Caggiula,2,0.10128396726486262,2,0.0014743879437446594,0.09980957932111796,DSS
Drew Helleson,4,0.27291643832695905,4,0.25852214731276035,0.014394291014198701,DSS
Dryden Hunt,2,1.005790934089442,2,1.002603117376566,0.003187816712876046,DSS
Dustin Tokarski,1,0.1012839672648626,1,0.002540282905101776,0.09874368435976083,DSS
Dustin Wolf,3,0.10900521271745196,3,0.0030302107334136963,0.10597500198403827,DSS
Dylan Cozens,2,0.04246531846677987,2,0.06906276941299438,-0.026597450946214518,RF
Dylan DeMelo,4,0.24457012166772052,4,0.0199419092386961,0.22462821242902442,DSS
Dylan Gambrell,1,0.1012839672648626,1,0.0021091848611831665,0.09917478240367944,DSS
Dylan Guenther,2,0.024728006021878746,2,0.0046686530113220215,0.020059353010556724,DSS
Dylan Holloway,3,0.9662386775783792,3,1.0332758997877438,-0.06703722220936459,RF
Dylan McIlrath,3,0.10514458999115732,3,0.0021351600686709085,0.1030094299224864,DSS
Dylan Samberg,2,0.2857945312408885,2,0.0018058642745018005,0.2839886669663867,DSS
Dylan Strome,1,0.001389975304812996,1,0.06451725959777832,-0.06312728429296532,RF
Eetu Luostarinen,4,0.30946574812865146,4,0.2465776726603508,0.06288807546830066,DSS
Egor Zamula,2,0.1128658354437467,2,0.0008231177926063538,0.11204271765114035,DSS
Elias Nils Pettersson,2,0.1128658354437467,2,0.0018766485154628754,0.11098918692828383,DSS
Elvis Merzlikins,2,0.11286583544374672,2,0.0026383474469184875,0.11022748799682823,DSS
Emil Andrae,4,0.17013374643490514,4,0.005818560719490051,0.1643151857154151,DSS
Emil Heineman,12,0.12235414486676359,12,0.003193207706014315,0.11916093716074927,DSS
Emil Lilleberg,2,0.11286583544374668,2,0.0009921230375766754,0.11187371240617,DSS
Eric Comrie,4,0.1128658354437467,4,0.0028745438903570175,0.10999129155338969,DSS
Eric Robinson,2,0.11286583544374672,2,0.0005922503769397736,0.11227358506680694,DSS
Erik Karlsson,2,0.10128396726486258,2,0.0011074766516685486,0.10017649061319403,DSS
Esa Lindell,1,0.11286583544374672,1,0.0009456351399421692,0.11192020030380455,DSS
Ethan Bear,1,0.11286583544374672,1,0.002918422222137451,0.10994741322160927,DSS
Ethen Frank,1,0.11286583544374666,1,0.0021656975150108337,0.11070013792873583,DSS
Evan Bouchard,4,0.22553530285303822,4,0.24784148577600718,-0.02230618292296896,RF
Evgeni Malkin,2,0.3497866384412138,2,0.08460154756903648,0.26518509087217734,DSS
Fedor Svechkov,1,0.1128658354437467,1,0.0009672194719314575,0.11189861597181525,DSS
Felix Nilsson,1,0.11286583544374668,1,0.0009569600224494934,0.11190887542129718,DSS
Felix Sandstrom,1,0.1128658354437467,1,0.002918422222137451,0.10994741322160925,DSS
Filip Forsberg,2,0.4502121152317442,2,0.5022474024444818,-0.052035287212737646,RF
Filip Gustavsson,2,0.10128396726486262,2,0.002430874854326248,0.09885309241053637,DSS
Gabriel Vilardi,2,0.1012839672648626,2,0.0035057105123996735,0.09777825675246293,DSS
Gage Goncalves,2,0.1012839672648626,2,0.0018368884921073914,0.09944707877275522,DSS
Georgi Romanov,2,0.1128658354437467,2,0.002680506557226181,0.11018532888652052,DSS
