name,n_test,mae
Brock Boeser,32,0.43826215201988816
Brock Faber,34,0.09300516392378246
Brock McGinn,12,0.08376349384586017
Brock Nelson,33,0.46241743794896384
Brogan Rafferty,2,0.001223348081111908
Bryan Rust,30,0.5839455599586169
Bryce Montgomery,1,0.001263052225112915
Cade Webber,3,0.0009982983271280925
Cale Fleury,13,0.07709299944914304
Cale Makar,34,0.32845445809995427
Caleb Jones,8,0.0005852486938238144
Callahan Burke,4,0.2511346973478794
Calle Jarnkrok,14,0.001588826732976096
Calum Ritchie,4,0.0022954046726226807
Calvin Pickard,36,0.02924220636487007
Calvin de Haan,33,0.18293816618847125
Cam Atkinson,30,0.26877942979335784
Cam Dineen,6,0.0010719547669092815
Cam Fowler,31,0.6108578073401605
Cam Talbot,32,0.0009334529750049114
Cam York,27,0.1119283084516172
Cameron Crotty,5,0.000986689329147339
Cameron Lund,6,0.0015280817945798237
Carl Grundstrom,31,0.25922380195510003
Carl Lindbom,3,0.0009395033121109009
Carson Bantle,2,0.0009875372052192688
Carson Lambos,2,0.0007928088307380676
Carson Soucy,32,0.1887478162534535
Carter Kowalyk,1,0.001263052225112915
Carter Mazur,2,0.0014054998755455017
Carter Verhaeghe,36,0.6385473118474086
Carter Yakemchuk,2,0.04214164987206459
Casey Cizikas,31,0.2935658308767503
Casey DeSmith,35,0.029423498255865915
Casey Mittelstadt,32,0.34754661610350013
Cayden Primeau,15,0.00029705862204233805
Chad Ruhwedel,9,0.11183984908792707
Chandler Stephenson,31,0.3727969363812477
Charles-Alexis Legault,1,0.001263052225112915
Charlie Coyle,35,0.296865173961435
Charlie Forslund,2,0.0009875372052192688
Charlie Lindgren,34,0.0009194774662747103
Charlie McAvoy,20,0.5058815725147724
Chris Driedger,9,0.0006408145030339559
Chris Kreider,28,0.36193715993847164
Chris Wagner,13,0.07725839889966525
Christian Dvorak,34,0.38752640038728714
Christian Fischer,33,0.24379314346746964
Christopher Tanev,34,0.11883289060171913
Clark Bishop,4,0.25076838955283165
Claude Giroux,34,0.49102642080363107
Clay Stevenson,2,0.001150086522102356
Clayton Keller,32,0.4990917935501784
Cody Ceci,37,0.11029425948052793
Cody Glass,31,0.13139837691860815
Cole Caufield,34,0.3052089166115312
Cole Koepke,30,0.2793941562374433
Cole Perfetti,36,0.45480853877961636
Cole Reinhardt,14,0.07186869212559291
Cole Schwindt,30,0.2680232375860214
Cole Sillinger,28,0.35739798764032976
Cole Smith,28,0.1451386037681784
Colin Blackwell,35,0.11563882785184043
Colin Miller,36,0.1403525231613053
Colin White,3,0.0014295826355616252
Collin Graf,14,0.28688315195696695
Colten Ellis,1,0.0006684809923171997
Colton Dach,16,0.06392636708915234
Colton Parayko,34,0.5789220749455339
Colton Sissons,32,0.003067438956350088
Colton White,5,0.0008606016635894775
Connor Bedard,33,0.513055503819928
Connor Brown,36,0.33605822879407143
Connor Clifton,32,0.25079447589814663
Connor Dewar,23,0.26335055024727533
Connor Hellebuyck,36,0.02878890972998407
Connor Ingram,16,0.06346344295889139
Connor Lockhart,1,0.001263052225112915
Connor Mackey,2,0.0008958950638771057
Connor McDavid,36,0.6987699824902747
Connor McMichael,35,0.3588860537324633
Connor Murphy,29,0.13806311529258203
Connor Zary,26,0.15541890836679018
Conor Garland,32,0.4256300951819867
