name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Alexandre Doucet,2,0.08116314847758507,2,0.0009875372052192688,0.0801756112723658,DSS
Alexandre Texier,33,0.29314849512330593,33,0.24524049054492603,0.047908004578379904,DSS
Alexey Toropchenko,35,0.2521629302784181,35,0.17441157570907048,0.07775135456934759,DSS
Alexis Lafrenière,31,0.3155093828990709,31,0.317805330599508,-0.0022959477004371176,RF
Aliaksei Protas,35,0.31190283639738703,35,0.35983474467481885,-0.04793190827743182,RF
Amadeus Lombardi,2,0.08116314847758507,2,0.0009875372052192688,0.0801756112723658,DSS
Anders Lee,31,0.3746414873483238,31,0.35557257287925287,0.01906891446907094,DSS
Andre Burakovsky,31,0.4607155722258282,31,0.45698417578974077,0.003731396436087442,DSS
Andre Lee,13,0.2981808774152326,13,0.23166804703382346,0.06651283038140912,DSS
Andreas Athanasiou,8,0.20774265987001495,8,0.1257422585040331,0.08200040136598186,DSS
Andreas Englund,31,0.1977395024261928,31,0.09835552063680464,0.09938398178938815,DSS
Andrei Kuzmenko,32,0.5321117255271096,32,0.6250513619743288,-0.09293963644721914,RF
Andrei Svechnikov,36,0.5774142903285436,36,0.5104724679970079,0.06694182233153578,DSS
Andrei Vasilevskiy,33,0.14704436907941967,33,0.06156252730976452,0.08548184176965515,DSS
Andrew Copp,23,0.4162492831161245,23,0.4437339688124864,-0.027484685696361866,RF
Andrew Mangiapane,35,0.24775894617266647,35,0.20161229882921491,0.04614664734345156,DSS
Andrew Peeke,32,0.23753455511304458,32,0.1581861530430615,0.07934840206998309,DSS
Andrey Krutov,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Angus Crookshank,6,0.3040918699898773,6,0.16873286416133246,0.13535900582854485,DSS
Anthony Beauvillier,38,0.2961204860208702,38,0.21255668252706528,0.08356380349380493,DSS
Anthony Cirelli,33,0.33980540283427735,33,0.2474833805904244,0.09232202224385294,DSS
Anthony Duclair,22,0.1360330118307348,22,0.1385194483128461,-0.002486436482111304,RF
Anthony Mantha,6,0.3625598511541737,6,0.3358701442678769,0.026689706886296793,DSS
Anthony Richard,7,0.15107659078323016,7,0.17294310459068843,-0.02186651380745827,RF
Anthony Stolarz,27,0.11931498466223461,27,0.037624098636485914,0.0816908860257487,DSS
Anton Forsberg,33,0.08522689892446685,33,0.0007631227825627183,0.08446377614190413,DSS
Anton Johansson,2,0.08116314847758505,2,0.0009875372052192688,0.08017561127236578,DSS
Anton Lundell,36,0.4442040786592434,36,0.42156392625636524,0.022640152402878144,DSS
Antonin Verreault,1,0.08116314847758505,1,0.001263052225112915,0.07990009625247213,DSS
Antti Tuomisto,2,0.08116314847758507,2,0.0009875372052192688,0.0801756112723658,DSS
Anttoni Honka,1,0.08116314847758505,1,0.001263052225112915,0.07990009625247213,DSS
Anze Kopitar,34,0.5283045302757355,34,0.4695059510276598,0.058798579248075744,DSS
Arber Xhekaj,34,0.2447484595910429,34,0.20714243939694235,0.03760602019410056,DSS
Arshdeep Bains,8,0.48554997346372786,8,0.3821581592783332,0.10339181418539467,DSS
Artem Zub,29,0.27178948583564944,29,0.1738739301418436,0.09791555569380583,DSS
Artemi Panarin,31,0.6854880799163673,31,0.6215222687009843,0.06396581121538303,DSS
Arthur Kaliyev,18,0.23428814005481835,18,0.1672920344604386,0.06699610559437974,DSS
Arttu Hyry,3,0.08116314847758505,3,0.0008971591790517172,0.08026598929853333,DSS
Artturi Lehkonen,29,0.4874731697387191,29,0.5060396641492844,-0.018566494410565237,RF
Artur Akhtyamov,2,0.08116314847758505,2,0.0012786462903022766,0.07988450218728277,DSS
Arturs Silovs,20,0.08360139874571412,20,0.00041854605078697207,0.08318285269492715,DSS
Artyom Levshunov,8,0.18375751519000438,8,0.12822002544999123,0.05553748974001316,DSS
Arvid Soderblom,11,0.0828255918422185,11,0.00034673241051760584,0.08247885943170088,DSS
Arvid Söderblom,21,0.08493663103540386,21,0.0002914603267397199,0.08464517070866413,DSS
Austin Baker,2,0.08116314847758507,2,0.0009875372052192688,0.0801756112723658,DSS
Austin Strand,2,0.08116314847758507,2,0.0009875372052192688,0.0801756112723658,DSS
Austin Watson,7,0.3531102898614799,7,0.14380918868950435,0.20930110117197556,DSS
Auston Matthews,32,0.6329734504689004,32,0.45378471398726106,0.17918873648163935,DSS
Axel Jonsson-Fjallby,3,0.08522689892446683,3,0.001266653339068095,0.08396024558539873,DSS
Aydar Suniev,4,0.08421096131274637,4,0.0009705871343612671,0.0832403741783851,DSS
Barclay Goodrow,30,0.28329014529964436,30,0.23472776114940644,0.04856238415023792,DSS
Barrett Hayton,32,0.46831144710279193,32,0.4689426231198013,-0.0006311760170093494,RF
Beck Malenstyn,32,0.24812798095144872,32,0.18867176910862327,0.05945621184282546,DSS
Ben Chiarot,32,0.22527240426076972,32,0.1576815927401185,0.06759081152065122,DSS
Ben Hutton,30,0.17190735820886463,30,0.06958001255989074,0.10232734564897389,DSS
